row_index,sam_name,PCE（%）_True,PCE（%）_Pred_Mu,PCE（%）_Pred_Sigma,VOC（V）_True,VOC（V）_Pred_Mu,VOC（V）_Pred_Sigma,JSC(mA·cm⁻²)_True,JSC(mA·cm⁻²)_Pred_Mu,JSC(mA·cm⁻²)_Pred_Sigma,FF_True,FF_Pred_Mu,FF_Pred_Sigma
369,Br-2PACz_HPWO,16.38,17.49974138676336,0.9362666219104396,0.859,0.865961880551131,0.009405612554567514,25.66,27.13599255292885,0.2780694562869195,0.7436,0.7622339970405587,0.014203772824784073
371,Br-2PACz_HPWO,17.23,17.34003297162523,0.44174402816879954,0.859,0.8758769285320704,0.0024619300410388166,27.63,26.31147550702722,0.3881962124613332,0.7262,0.7544569041642654,0.008621073299444311
373,Br-2PACz_HPWO,18.61,17.813947644801722,0.1404290278226869,0.868,0.8600496092374402,0.004722479837343522,27.91,26.837285990554392,0.33319750324326697,0.7677,0.7641224234951305,0.006422218259801586
395,BrPZPA,17.5,17.18535537527249,0.35058557621946695,0.85,0.8689718385969191,0.008230002128776788,27.5,27.76451700343844,0.43464252422692784,0.747,0.7441348451344245,0.0036453008851349026
398,BrPZPA,18.8,18.114990462004098,0.3749604087114905,0.87,0.8783032037076931,0.007446083599239623,27.9,28.174015468564896,0.593927269839346,0.777,0.7689067433073797,0.005273610303878876
430,C12-BA,3.434,3.0060284128292425,0.09651834769797549,0.591,0.5906806432953968,0.0005588801867417337,8.858,8.897098110482968,0.22183107356497153,0.5248,0.3646539610642484,0.0033008053675328344
488,pPhPADCB,17.42,16.457087768096024,0.2976197169363222,0.865,0.8537184248714512,0.010057483285257561,27.15,22.68445171943229,0.26901212398284247,0.7422,0.7472271921480982,0.008625546771276008
489,pPhPADCB,19.28,18.001832430378908,0.4200561344278065,0.894,0.8827604782620976,0.012275569225339716,28.91,23.369800695910698,0.32998410220802565,0.7462,0.7870453959066824,0.009086787746167708
490,pPhPADCB,19.47,17.891329425218927,0.38790117018143494,0.913,0.8721855335289448,0.0129570864478408,28.05,23.349125012984224,0.33622793825313096,0.76,0.7924543512847919,0.009054889192945982
491,pPhPADCB,13.6,17.18816646052415,0.4053596830415785,0.825,0.8283218527549405,0.012940079521359667,26.19,23.253865236632542,0.3534657892126113,0.629,0.7470100475072987,0.009268848723232243
493,3-CBA,8.2,6.907006130135655,0.3143554183829777,0.78,0.7643397852699945,0.015196577226832418,16.45,15.977105294799431,0.22568813065756296,0.641,0.6362736585677401,0.016663410393738535
547,Th-Cz,19.34,18.42124311036189,0.2917631757615112,0.864,0.8614241277509888,0.0063407664094819625,27.83,25.97918254883265,0.34580382959836486,0.8042,0.7911326161514947,0.009120718573496231
548,Th-Cz,18.25,18.26547036553137,0.2501915160438252,0.847,0.8602358319439793,0.006415323659954043,27.42,25.97918254883265,0.25086401506677614,0.7855,0.787035081008983,0.008519486365212589
550,m-PhPACz,19.09,17.855005007353892,0.3998466660731439,0.858,0.8055281545153031,0.009860069833660117,27.95,27.60650525588586,0.34663775399149,0.7955,0.7666995270268668,0.003998185275658452
552,Th-Cz,18.93,19.10109310029213,0.23401857784417748,0.894,0.879752773866891,0.00679978692471035,26.73,25.605272539446805,0.33913351463664754,0.7926,0.8058695115952779,0.008900691541696582
554,Th-Cz,19.27,19.166993091860732,0.3158749600382178,0.871,0.8465106470005727,0.0049306436926967534,27.95,26.59694852077954,0.4481485374136077,0.7926,0.7971197288851686,0.008796148863957205
556,Th-Cz,20.91,20.785774726529276,0.2370345621932048,0.898,0.8818757426433529,0.006420457923762607,28.87,27.386811480320937,0.553242962987799,0.8065,0.8074467645371537,0.007581850471597377
557,Th-Cz,20.67,20.785774726529276,0.2370345621932048,0.905,0.8818757426433529,0.006420457923762607,28.61,27.386811480320937,0.553242962987799,0.7983,0.8074467645371537,0.007581850471597377
559,Th-Cz,19.63,20.785774726529276,0.2370345621932048,0.873,0.8818757426433529,0.006420457923762607,28.37,27.386811480320937,0.553242962987799,0.7924,0.8074467645371537,0.007581850471597377
589,P-4PACz,19.03,17.803342280288017,0.7898547014331379,0.866,0.8490931160416414,0.008336629568901808,27.872,27.62712312292847,0.4249739512649587,0.7886,0.7665903997393168,0.016581353470441346
591,P-4PACz,16.73,16.358136136128273,0.30517344571766447,0.8602,0.8550056064934751,0.009018873375469019,26.1617,26.75114895883528,0.31556074332510203,0.7435,0.7443738676924478,0.012335947709976485
594,P-4PACz,16.35,16.590352709590018,0.44827066246148833,0.9503,0.9098191213823488,0.024907743787798683,23.9253,24.851059107869002,0.5488102416307303,0.7192,0.7216333188196296,0.0159691033925248
597,P-4PACz,18.16,18.086254789844784,0.4719764565968423,0.8696,0.8777420962293524,0.009600441969900385,26.4909,26.91798101001641,0.7192043593128272,0.7858,0.7771513829275496,0.013592697242580077
620,BBA,2.72,2.325210185038409,0.3180742961490011,0.78,0.6331328689585504,0.015148951182986719,6.43,6.8582061010930335,0.37327265037328905,0.55,0.5640018208643975,0.011211480482979666
627,BBA,1.7,3.772294471527359,0.2776895490820531,0.7,0.600425408108465,0.0142010324077241,4.48,7.876864992046913,0.3876605736765132,0.55,0.5668919630820446,0.009683213804903031
687,BBA,2.94,3.9002627353291133,0.6833833181637601,0.62,0.6197741799229071,0.011664113664602705,7.88,10.988512173647473,0.4049591964020701,0.604,0.6026541945641466,0.012644266573851249
710,MPPA,11.0,11.18502003346008,0.577232563225437,0.89,0.7742286246833964,0.01057428476603574,18.82,16.246183340135172,0.4715970315202986,0.656,0.6769778772657465,0.006629140453333163
711,MPPA,8.8,11.04536667107845,0.5584560351988548,0.8,0.8220034019492791,0.01175706262330056,17.11,16.132648596183568,0.2818080768924544,0.641,0.6391612087499848,0.004931572065648091
728,MPPA,11.0,11.18502003346008,0.577232563225437,0.89,0.7742286246833964,0.01057428476603574,18.82,16.246183340135172,0.4715970315202986,0.656,0.6769778772657465,0.006629140453333163
729,MPPA,8.8,11.04536667107845,0.5584560351988548,0.8,0.8220034019492791,0.01175706262330056,17.11,16.132648596183568,0.2818080768924544,0.641,0.6391612087499848,0.004931572065648091
